Date,Publication,Headline,URL,Ideology
2019-11-14,The Guardian,majority of anti-vaxx ads funded by just two organisations,https://www.theguardian.com/technology/2019/nov/13/majority-antivaxx-vaccine-ads-facebook-funded-by-two-organizations-study,Liberal
2019-11-19,The Guardian,"flu  give migrants vaccine to tackle us detention 'emergency', doctors say",https://www.theguardian.com/society/2019/nov/19/migrants-flu-vaccine-detention-emergency-doctors,Liberal
2019-11-19,The Guardian,"give migrants vaccine to tackle us detention 'emergency', doctors say",https://www.theguardian.com/society/2019/nov/19/migrants-flu-vaccine-detention-emergency-doctors,Liberal
2019-11-25,Daily Mail,"actor rob schneider defends freedom of speech in furious anti-vax twitter rant, blasting 'totalitarian' social media users for trying to silence differing opinions and accusing tech giants amazon, facebook and youtube of 'burying information'",https://www.dailymail.co.uk/news/article-7723479/Rob-Schneider-warns-against-totalitarian-Amazon-Google-Facebook-free-speech-Twitter-rant.html,Conservative
2019-12-05,Daily Mail,"hope for an hiv vaccine as scientists 're-engineer' the human immune system to fight the virus         +2           duke university and boston children's hospital researchers think they've discovered a way to trigger the immune system to make antibodies against hiv, without attacking its own immune cells in mice.",https://www.dailymail.co.uk/health/article-7760839/Hope-HIV-vaccine-scientists-engineer-human-immune-fight-virus.html,Conservative
2019-12-05,Daily Mail,"revealed: more than 140,000 people were killed by measles last year amid resurgence of the killer infection, as experts blame dangerous anti-vaxx propaganda        +3           there were 9,769,400 cases globally in 2018, with the majority being babies and children under the age of five. a boy in samoa - currently battling an outbreak - is pictured getting a jab.",https://www.dailymail.co.uk/health/article-7756105/More-140-000-people-killed-measles-year.html,Conservative
2019-12-11,New York Times,"david robert grimesterminally ill at 25, and fighting fake news on vaccines",https://www.nytimes.com/2019/12/11/opinion/anti-vaccine-HPV.html,Liberal
2019-12-24,Daily Mail,santa claus is coming to town! norad tracker shows saint nick's route as the usda grants him access to 'any border port' in the us - as long as rudolph and the reindeer get vaccinated!,https://www.dailymail.co.uk/news/article-7825145/USDA-grants-Santa-Claus-access-border-port-US.html,Conservative
2019-12-28,CNN,"seattle school system says if students aren't vaccinated, they can't return to classes",https://www.cnn.com/2019/12/28/us/seattle-public-schools-vaccines-exclusion-trnd/index.html,Liberal
2019-12-29,CNN,"seattle school system says if students aren't vaccinated, they can't return",https://www.cnn.com/2019/12/28/us/seattle-public-schools-vaccines-exclusion-trnd/index.html,Liberal
